Group1	Group2
0.245505749	0.207077716
0.58868319	0.386956215
0.836751455	0.287903858
0.431226321	0.279329405
0.092090312	0.05492992
0.980591745	0.68325591
1.17012904	0.006007198
0.347252287	0.08313398
0.819254272	0.403058976
2.245305873	0.183948304
1.107432972	0.152867896
0.320363252	0.228072909
1.182173851	0.685687324
1.481386857	0.115846212
3.60230918	1.626904017
0.103102742	0.015625778
0.161078644	0.030727596
2.742710958	1.541031003
0.015891394	0.010755375
2.193608452	0.348942903
0.157035254	0.047653706
1.343089155	1.109653396
1.652102964	1.219776101
0.757277455	0.162817829
0.230683759	0.040083242
2.890731896	2.258474419
0.24616805	0.161998122
1.287122638	1.217436417
1.051855514	0.243193862
2.967691851	1.765794414
1.536109459	0.429222969
0.18911982	0.000435096
0.585178406	0.143462962
1.081424625	0.498836151
0.253973445	0.186029326
1.192294925	0.265032072
0.367472998	0.148338855
0.387567154	0.229264852
0.66240789	0.239618471
2.18047859	1.568699045
2.917912119	1.870228221
4.360852845	3.131982594
4.391222106	0.685838584
1.536019917	0.045923411
0.652654419	0.324333586
1.295402505	0.649222977
1.486577369	1.193139948
