NORMAL	CANCER
0.214074	0.557345
0.214086	0.559038
0.214214	0.559224
0.214334	0.560605
0.214406	0.560607
0.214638	0.56119
0.214758	0.561592
0.214812	0.562348
0.214917	0.562456
0.215152	0.562683
0.215728	0.562779
0.216008	0.563253
0.216048	0.563985
0.216172	0.567457
0.216266	0.567552
0.216664	0.567644
0.217121	0.567892
0.217546	0.568067
0.217551	0.568731
0.217881	0.569489
0.21791	0.57111
0.218078	0.571987
0.218117	0.572097
0.21851	0.573066
0.218749	0.574069
0.21891	0.574077
0.219252	0.574568
0.219278	0.57624
0.219342	0.577355
0.219386	0.57837
0.219411	0.579019
0.219558	0.579564
0.220042	0.580288
0.220221	0.580535
0.220256	0.580674
0.220484	0.58092
0.220686	0.581359
0.221156	0.581738
0.221201	0.582784
0.221462	0.583103
0.221914	0.583863
0.221936	0.58454
0.222568	0.584686
0.22266	0.586321
0.223577	0.586476
0.224676	0.587111
0.224845	0.587555
0.22486	0.588386
0.224928	0.588589
0.225135	0.58964
0.225721	0.59081
0.225856	0.591827
0.225974	0.592216
0.22611	0.592298
0.226294	0.592605
0.226344	0.592718
0.226593	0.593521
0.227047	0.594514
0.227405	0.595577
0.227757	0.596323
0.22776	0.596868
0.227849	0.597309
0.22792	0.597472
0.228387	0.597752
0.228574	0.598614
0.229327	0.599432
0.229996	0.600231
0.230009	0.600269
0.230015	0.600394
0.230592	0.600458
0.23126	0.600963
0.231329	0.601536
0.231389	0.601836
0.231458	0.602395
0.231469	0.602527
0.232243	0.603131
0.23293	0.60462
0.233046	0.605508
0.233328	0.605611
0.233446	0.605695
0.233472	0.605884
0.234372	0.606422
0.234689	0.606832
0.235247	0.606886
0.235302	0.607287
0.235921	0.607589
0.236056	0.608733
0.236344	0.609434
0.236469	0.609444
0.237541	0.609551
0.237932	0.610504
0.238045	0.611196
0.238225	0.611651
0.238295	0.611904
0.238453	0.612141
0.238918	0.612557
0.239711	0.613845
0.239788	0.615195
0.239824	0.61536
0.241519	0.615965
0.241667	0.617145
0.241828	0.617261
0.242264	0.617907
0.242697	0.61794
0.242738	0.619404
0.242883	0.619459
0.244473	0.619643
0.245115	0.620009
0.245292	0.620453
0.245496	0.620689
0.246136	0.621583
0.246324	0.622331
0.246357	0.622487
0.246755	0.622513
0.246848	0.623354
0.24788	0.624701
0.248561	0.625309
0.248583	0.626087
0.248629	0.626186
0.248738	0.627106
0.249048	0.627569
0.249084	0.627592
0.249378	0.627602
0.250066	0.627735
0.25085	0.6291
0.250931	0.630185
0.251058	0.630515
0.251171	0.630981
0.25212	0.631359
0.252784	0.631364
0.252834	0.632138
0.252874	0.632253
0.252895	0.63358
0.253534	0.63369
0.253692	0.633773
0.25376	0.634
0.25454	0.634206
0.254549	0.634317
0.2546	0.634373
0.25485	0.634713
0.255232	0.635397
0.255483	0.635469
0.255641	0.635562
0.255665	0.636198
0.256197	0.636642
0.256365	0.636667
0.256491	0.637029
0.257388	0.639254
0.257409	0.639263
0.257936	0.640113
0.258057	0.641052
0.258336	0.641659
0.258656	0.641834
0.258763	0.644648
0.259276	0.645537
0.259523	0.645573
0.260208	0.645695
0.2606	0.645771
0.261055	0.645785
0.262145	0.646137
0.263058	0.646215
0.264289	0.647071
0.264622	0.647855
0.264646	0.648348
0.264747	0.649134
0.266364	0.650001
0.266478	0.650394
0.267358	0.650623
0.267824	0.650646
0.270424	0.650771
0.27103	0.651016
0.271114	0.651313
0.271505	0.652554
0.271506	0.653235
0.271551	0.653371
0.271828	0.653992
0.272244	0.65419
0.272531	0.654962
0.27337	0.655478
0.273877	0.655955
0.274662	0.658099
0.276276	0.658451
0.276326	0.659449
0.276377	0.659686
0.276409	0.660376
0.276528	0.660837
0.277098	0.662202
0.277543	0.662412
0.277612	0.662425
0.278572	0.662426
0.279415	0.663067
0.279587	0.663449
0.279997	0.663996
0.28002	0.664183
0.280031	0.664604
0.280892	0.66545
0.281859	0.666452
0.28189	0.666461
0.282318	0.666901
0.282697	0.667142
0.283773	0.667626
0.283962	0.667671
0.284168	0.668874
0.284658	0.669007
0.284727	0.669198
0.285376	0.669276
0.285445	0.669773
0.288742	0.669835
0.291691	0.671127
0.29293	0.672073
0.29342	0.672423
0.294587	0.673038
0.296497	0.673269
0.297443	0.673474
0.297811	0.674258
0.298053	0.674399
0.299528	0.674688
0.299852	0.675138
