Age	Expression
56	1.725011249
53	0.285111467
57	0.451615146
23	0.166360716
50	0.4261219
23	1.5416715
70	2.403826334
64	0.814481375
47	0.156028081
88	1.496126889
50	1.392201408
78	1.871405636
62	0.012698099
78	0.145439364
70	0.215458416
40	0.925349946
87	1.457647118
22	0.848869262
28	2.710625256
37	1.011177572
61	3.286757318
39	1.518136323
62	1.066002584
44	2.479234385
51	1.219281935
31	1.783649119
70	2.31214841
72	1.016562917
31	5.103465118
37	1.403813797
72	0.24121783
65	1.073256887
37	4.164914403
41	0.682223501
40	3.148003609
34	3.804844031
66	0.383095173
58	4.198203776
19	2.970618234
46	2.52238001
57	0.103340405
36	2.522316616
35	1.31646674
55	0.716425111
66	2.735277701
81	1.502612067
66	0.941005714
24	1.41543128
53	0.500969649
45	2.044368434
38	0.409625065
55	1.573815166
63	2.302294557
34	2.989301419
47	1.459247677
36	2.85058313
69	2.087950543
42	0.989846846
47	3.059050461
15	1.320053854
42	1.53393892
41	0.656589679
34	3.857546021
60	0.145553351
28	1.457498029
79	1.621641837
19	0.480641255
78	0.472550802
46	0.930905684
22	0.551759135
35	2.389069563
41	2.876870427
38	2.097256127
31	1.007426406
55	0.942210503
54	0.791613458
68	0.043015624
43	1.970844796
33	1.32887249
75	2.639630209
74	0.563850582
68	0.046634989
41	0.892939261
35	2.35485485
36	1.457613125
63	2.116558335
55	2.664203386
76	1.534501753
31	2.884367178
32	4.715171698
39	0.688730258
74	1.067222333
73	0.478918116
71	0.907134921
53	0.473270202
47	0.139627156
52	1.605774468
56	0.037942279
46	1.073197121
33	0.528262901
52	1.950064579
68	0.509043915
75	0.225942407
64	1.172681794
36	0.831912698
49	2.366174463
28	1.607750877
31	2.534501942
62	0.484496865
62	2.128169451
77	1.274820418
26	1.681478481
40	0.419744116
46	0.519329419
51	2.583039428
20	1.436544657
47	2.002184556
64	1.056503756
37	2.094056295
46	1.479516267
46	0.500078797
66	0.16435537
33	3.8239511
33	1.038709581
46	3.718401204
47	0.901985709
67	2.767071628
39	0.864445417
62	0.795570807
45	2.207773364
36	2.913051274
61	1.058572676
31	1.981816393
85	0.782086001
41	1.092328249
24	0.889200086
30	3.423868909
63	1.681607394
57	0.393484809
42	1.224990592
40	0.114553328
71	2.210926729
19	0.161774867
55	2.0208153
83	1.158597032
54	1.489825574
46	2.161552465
33	2.531755203
40	0
55	1.256397669
33	0.954040713
62	0.393665535
43	0.967860866
28	1.362214365
36	0.18021238
42	1.375319377
40	1.35314851
69	0.256686496
33	1.045680419
59	0.451261463
49	0.268855909
72	0.30411342
42	0.754474959
28	0.989911701
35	0.96349819
64	0.085310687
26	2.156529024
56	1.134768445
37	1.196526805
40	0
36	2.812154833
52	1.679767113
33	0.451275891
28	1.89028672
35	0.593171989
24	0.263040371
51	1.479491271
27	1.380992871
72	0.113335405
39	1.096338589
51	0.000145193
47	0
34	0.13586391
53	0.890242006
46	1.457677845
83	0.398423507
23	0.585354473
48	0.590733584
20	1.719966229
34	1.595661076
35	0.831772475
39	0.296986936
73	0.072722579
24	3.300419465
27	0.979747337
55	1.313457704
33	1.179578325
44	1.721568889
34	3.984043631
27	3.238289917
42	0.511520927
60	0.452977143
28	3.033389794
47	0.57661607
30	2.821329579
24	3.655637408
33	2.30597976
43	3.082784487
43	4.159196374
42	1.69086444
33	5.212598778
23	0
21	1.90831784
68	3.372563069
64	0.782923744
32	2.55088219
38	0.313487077
24	2.253115336
62	1.809609542
26	2.062052099
51	0.259320672
45	0.880142241
61	0.69322646
30	2.288709222
70	0.609191373
44	1.281246537
18	2.853791051
26	2.156108129
26	1.466821749
33	1.215842846
19	0.376094406
36	0.902981462
82	2.759438503
27	1.927684973
16	2.373569591
33	0.640263087
37	1.027719834
17	2.743469055
43	0.778950766
28	1.403777682
61	1.686112384
31	2.833812684
21	0.803644693
50	0.127309283
51	2.376729179
61	0.395995695
29	1.002884176
34	0.395176987
64	1.64409974
48	4.241013612
48	0.872907582
69	2.569271537
20	3.303920782
57	3.039037046
50	1.360657245
62	0.602037145
66	0.849053987
21	0.093399226
61	1.612123322
66	1.955846759
52	6.150625791
64	0.999658336
46	0.818176299
55	2.138472358
51	0.838239652
55	0.730852062
76	0.265085638
51	2.12105454
62	1.894209357
54	1.542515122
33	3.098490858
54	2.187444262
25	1.58562666
41	1.3685047
29	1.00825283
34	1.426732931
40	0.512860477
32	2.344944142
58	4.316390168
89	0.07620376
55	0.549868344
42	1.047500138
37	0.084097696
39	0.728859598
37	1.912740209
52	0.660285504
38	5.038499464
33	3.765643628
39	2.92720889
47	0.665017549
31	1.55817475
83	0.974218456
54	1.68768697
39	1.396846276
45	1.242975334
59	0.487802674
68	0.89777656
37	0.264200867
47	0.628861478
28	1.261940794
39	0.954827554
37	0.540597551
41	0.269225523
49	2.079009366
61	0.594156557
46	1.415289737
41	0.745954869
45	0.096496245
55	0.201213369
41	0.037938813
47	1.298399317
49	1.136303189
58	0.162665307
35	1.159208563
20	1.896430894
41	1.416618595
74	1.761012447
50	3.259551118
